topic,subtopic1,subtopic2,subtopic3,fact
Chord (geometry),Geometry,Chord,Properties,"In geometry, a chord is a straight line segment whose endpoints both lie on a circular arc. If a chord were to be extended infinitely on both directions into a line, the object is a secant line."
Chord (geometry),Geometry,Chord,Properties,The perpendicular line passing through the midpoint of a chord is called sagitta (Latin for 'arrow').
Chord (geometry),Geometry,Chord,Properties,A chord that passes through the center of a circle is the circle's diameter.
Chord (geometry),Geometry,Chord,Properties,"In circles, among properties of chords of a circle are the following: Chords are equidistant from the center if and only if their lengths are equal. Equal chords are subtended by equal angles from the center of the circle."
Chord (geometry),Geometry,Chord,Properties,Equal chords are subtended by equal angles from the center of the circle. A chord that passes through the center of a circle is called a diameter and is the longest chord of that specific circle.
Chord (geometry),Geometry,Chord,Properties,"If the line extensions (secant lines) of chords AB and CD intersect at a point P, then their lengths satisfy AP · PB = CP · PD (power of a point theorem)."
Chord (geometry),Geometry,Chord,Properties,"In conics, the midpoints of a set of parallel chords of a conic are collinear (midpoint theorem for conics)."
Chord (geometry),Geometry,Chord,Properties,The chord function is defined geometrically as shown in the picture. The chord of an angle is the length of the chord between two points on a unit circle separated by that central angle.
Chord (geometry),Geometry,Chord,Properties,"The chord function can be related to the modern sine function, by taking one of the points to be (1,0), and the other point to be (cos θ, sin θ), and then using the Pythagorean theorem to calculate the chord length: crd ⁡ θ = ( 1 − cos ⁡ θ ) 2 + sin 2 ⁡ θ = 2 − 2 cos ⁡ θ = 2 sin ⁡ θ 2."
Chord (geometry),Geometry,Chord,Properties,"Much as modern trigonometry is built on the sine function, ancient trigonometry was built on the chord function. Hipparchus is purported to have written a twelve-volume work on chords, all now lost, so presumably, a great deal was known about them."
Chord (geometry),Geometry,Chord,Properties,"The first known trigonometric table, compiled by Hipparchus in the 2nd century BC, is no longer extant but tabulated the value of the chord function for every 7+1⁄2 degrees."
Chord (geometry),Geometry,Chord,Properties,"In trigonometry, chords were used extensively in the early development of trigonometry. The first known trigonometric table, compiled by Hipparchus in the 2nd century BC, is no longer extant but tabulated the value of the chord function for every 7+1⁄2 degrees."
Geometry of binary search trees,Geometry of Binary Search Trees,Arborally Satisfied Point Set,Tree Construction,The point set for any valid BST algorithm is arborally satisfied.
Geometry of binary search trees,Binary Search Trees,Definition and Properties,Arborally Satisfied Point Set,An arborally satisfied point set for a binary search tree contains all points that are touched at some time.
Geometry of binary search trees,Tango Trees,Definition and Properties,Tree Construction,A Tango tree is a type of binary search tree where each node has exactly two children.
Geometry of binary search trees,Splay Trees,Definition and Properties,Tree Construction,"A splay tree is a type of binary search tree that allows for efficient insertion, deletion, and searching operations."
Geometry of binary search trees,Self-Balancing Binary Search Trees,Definition and Properties,Tree Construction,A self-balancing binary search tree is a type of binary search tree where the height of the tree is logarithmic.
Geometry of binary search trees,Optimal Binary Search Trees,Definition and Properties,Tree Construction,An optimal binary search tree is a type of binary search tree that minimizes the height of the tree.
Geometry of binary search trees,Mathematics,Binary search trees,Geometric representation,"In the geometric view of binary search trees, an access sequence is mapped to a set of points in the plane."
Geometry of binary search trees,Computer science,Online algorithms,Dynamic optimality problem,"The dynamic optimality conjecture states that splay trees have a constant competitive ratio, but this remains unproven."
Geometry of binary search trees,Mathematics,Binary search tree algorithms,Competitive analysis,The competitive ratio of an algorithm A is defined to be the maximum cost for a given access sequence over all possible algorithms.
Geometry of binary search trees,Computer science,Online algorithms,Access sequences,"An access sequence X represents the set of points in the plane where each point belongs to the key set {1, 2, ..., n}."
Geometry of binary search trees,Mathematics,Binary search tree algorithms,Competitive analysis,The geometric view of binary search trees provides a different way to understand the problem that has led to alternative algorithms with a constant competitive ratio.
Geometry of binary search trees,Computer science,Online algorithms,Access sequences,"The access sequence X represents the set of points in the plane where each point belongs to the key set {1, 2, ..., n}."
Lipschitz domain,Mathematics,Lipschitz domain,Definition,A Lipschitz domain is a domain in Euclidean space whose boundary is 'sufficiently regular' in the sense that it can be thought of as locally being the graph of a Lipschitz continuous function.
Lipschitz domain,Mathematics,Lipschitz domain,Generalization,"A more general notion is that of weakly Lipschitz domains, which are domains whose boundary is locally flattable by a bilipschitz mapping. Lipschitz domains in the sense above are sometimes called strongly Lipschitz by contrast with weakly Lipschitz domains."
Lipschitz domain,Mathematics,Lipschitz domain,Applications of Lipschitz domains,"Many of the Sobolev embedding theorems require that the domain of study be a Lipschitz domain. Consequently, many partial differential equations and variational problems are defined on Lipschitz domains."
Lipschitz domain,Mathematics,Lipschitz domain,Applications of Lipschitz domains,The two-bricks domain is an example of a weakly Lipschitz domain that fails to be a strongly Lipschitz domain.
Similarity system of triangles,Similarity system of triangles,Equations for similar triangles,Summation of equations,"The summation of the equations for the first four triangles and the last four triangles provides the same result, making them all directly similar."
Similarity system of triangles,Mathematics,Similarity systems,Triangles,A similarity system of triangles is a specific configuration involving a set of triangles where all triangles share a minimum of one incidence relation with one of the other triangles present in the set.
Algebra (book),Mathematics,Algebra,Abstract algebra,Serge Lang's Algebra is a graduate-level textbook on abstract algebra written by Serge Lang and published in 1965.
Algebra (book),Mathematics,Algebra,Abstract algebra,"Lang's Algebra covers groups, rings, modules, polynomials, field theory, Noetherian rings and modules, linear algebra and representations, homological algebra, general homology theory, finite free resolutions."
Algebra (book),Mathematics,Algebra,Abstract algebra,"Lang's Algebra is a graduate-level textbook on abstract algebra written by Serge Lang and published in 1965. It covers groups, rings, modules, polynomials, field theory, Noetherian rings and modules, linear algebra and representations, homological algebra, general homology theory, finite free resolutions."
Electrostatic solitary wave,Electrostatic solitary wave,Pulses on even smaller time scales than the ESW itself,Soliton Interplanetary magnetic field,The passage mentions that an electrostatic solitary wave is a type of electromagnetic phenomenon.
Electrostatic solitary wave,Electrostatic solitary wave,Definition,Type,"An electrostatic solitary wave (ESW) is a type of electromagnetic soliton occurring during short time scales in plasma. When a rapid change occurs in the electric field in a direction parallel to the orientation of the magnetic field, and this perturbation is caused by a unipolar or dipolar electric potential, it is classified as an ESW."
Electrostatic solitary wave,Electrostatic solitary wave,Classification,Type,ESWs are classified into two types: ion-acoustic solitary waves and electron-acoustic solitary waves. These tend to be substantially faster and higher frequency than ion-acoustic solitary waves.
Electrostatic solitary wave,Electrostatic solitary wave,Detection,Algorithm,"To detect an ESW, the data from a device measuring the electric field is sent to the digital signal processor. This data is analyzed across a short time window (in the case of MMS, 1 millisecond), taking both the average electric field magnitude and the largest electric field magnitude during that time window."
Electrostatic solitary wave,Electrostatic solitary wave,Detection algorithm,Specific,NASA's Magnetospheric Multiscale Mission (MMS) uses a digital signal processor to analyze the electric field data and isolate short-duration spikes as a candidate for an ESW.
Biology,Biology,Fundamental themes,Cellular structure and function,"The five fundamental themes of biology are the cell as the basic unit of life, genes and heredity as the basis of inheritance, evolution as the driver of biological diversity, energy transformation for sustaining life processes, and homeostasis, the maintenance of internal stability."
Biology,Biology,Taxonomy and classification,Organisms,The study of biological phenomena involves taxonomic and phylogenetic methods to classify organisms based on shared characteristics and evolutionary relationships.
Biology,Biology,Evolutionary biology,Natural selection,"The theory of evolution by natural selection was introduced independently by Thomas Beddoes, Karl Friedrich Burdach, Gottfried Reinhold Treviranus, Jean-Baptiste Lamarck, and others."
Biology,Biology,Developmental biology,Cellular development,"The study of cellular development involves the analysis of cell division, differentiation, and morphogenesis in multicellular organisms."
Biology,Biology,Ecology,Population biology,"Ecological studies focus on the interactions between species, populations, and communities, including population dynamics, community structure, and conservation issues."
Biology,Biology,Systematics,Taxonomy,The study of biological classification involves the identification and categorization of organisms based on shared characteristics and evolutionary relationships.
Biology,Biology,Genetics,Mendelian inheritance,Mendelian inheritance is a key early discovery that showed how genes and traits are passed on from parents to offspring.
Biology,Biology,Cell biology,Protein synthesis,"Cellular respiration is an important process in cells, involving the conversion of nutrients into energy and carbon dioxide."
Biology,Biology,Molecular biology,Nucleic acids (DNA and RNA),"The Human Genome Project was launched in 1990 to map the human genome, focusing on understanding the structure, function, and interactions of nucleic acids."
Biology,Biology,Biochemistry,Molecular biology,"Molecular biology is a branch of biology that studies the molecular basis of biological activity in and between cells, including nucleic acids (DNA and RNA) and proteins."
Biology,Biology,Biochemistry,Nucleic acids (DNA and RNA),"Molecular biology is a field that examines the structure, function, and interactions of nucleic acids as they orchestrate processes such as replication, transcription, translation, protein synthesis, and complex biomolecular interactions."
Biology,Biology,Biochemistry,Nucleic acids (DNA and RNA),"Molecular biology is a field that studies the structure, function, and interactions of nucleic acids as they orchestrate processes such as replication, transcription, translation, protein synthesis, and complex biomolecular interactions."
Biology,Biology,Genetics,Heredity,"Genetic inheritance is a fundamental concept in biology, involving the transmission of traits from parents to offspring."
Biology,Biology,Evolution,Natural selection,"Natural selection is an important concept in evolution, where organisms with advantageous traits are more likely to survive and reproduce."
English false friends in Ido,Language,Constructed language Ido,False friends,"In the constructed language Ido, English false friends are words with different meaning or broader meaning."
Chindu Bhagavatham,Art form,Drama art,Chindu Bhagavatam,"Chindu Bhagavatam is a drama art widely performed in Telangana, India. It evolved over time from being restricted to a small sub-sect within a community to being performed all over the region and utilised by the State government."
Chindu Bhagavatham,Art form,Folk theater art forms,"Kattaikkuttu, Terukkuttu, Yakshaganam type of folk theater art forms in other parts of south India","Chindu Bhagavatam is distantly related to Kattaikkuttu, Terukkuttu, Yakshaganam type of folk theater art forms in other parts of south India."
Chindu Bhagavatham,Art form,Yakshaganas,Chindu Bhagavatam,The art form has evolved over time from being restricted to a small sub-sect within a community to being performed all over the region and utilised by the State government.
Brahmamuhurta,Brahmamuhurta,48-minute period,Penultimate phase or muhurta of the night,"Brahmamuhurta is a 48-minute period that begins one hour and 36 minutes before sunrise, and ends 48 minutes before sunrise. It is traditionally the penultimate phase or muhurta of the night, and is considered an auspicious time for all practices of yoga and most appropriate for meditation, worship or any other religious practice."
Brahmamuhurta,Ayurveda,Yoga,Suryanamaskara,"The Suryanamaskara can be used in ritual cleansing practice that uses the mind states associated with 'Vata' in Ayurveda medicine. These qualities are nearer to the divine, as they pertain to stillness of the mind, which allows for the spirit to shine."
Chiac,Language,Patois,Chiac,"Chiac is a patois of Acadian French spoken mainly in southeastern New Brunswick, Canada. It shares most phonological particularities of the dialect but contains far more English loanwords compared to other Canadian French dialects."
Chiac,Language,French,Acadian-French,"Chiac is a major modern variety of Acadian-French, sharing most phonological particularities with the dialect but containing more English loanwords."
Chiac,Language,French,Acadian-French,"Chiac is also featured in Acadieman, a comedy about 'The world's first Acadian Superhero' by Dano Leblanc."
French orthography,Language,French orthography,Historical changes,"The French orthography has a long history, with Latin roots and no ⟨d⟩ at all. The trend towards etymologizing sometimes produced absurd spellings like sçapvoir for normal savoir."
French orthography,Language,Modern French,Spelling conventions,"The Modern French spelling was codified in the late 17th century by the Académie française, based on previously established spelling conventions. Some reforms have occurred since then, but most have been fairly minor."
French orthography,Language,Vocabulary,French,"French orthography has digraphs and trigraphs, which are remnants of the original language's spelling."
French orthography,Writing,Spelling,French,"French orthography uses vowels and consonants to spell words, with digraphs and trigraphs being common examples."
French orthography,Language,Writing,Orthography,"French orthography encompasses the spelling and punctuation of the French language. It is based on a combination of phonemic and historical principles, with Old French c. 1100–1200 AD as the basis for pronunciation."
French orthography,Language,Writing,Vocabulary,"French orthography allows for a reasonable degree of accuracy when pronouncing unfamiliar French words from their written forms. The reverse operation, producing written forms from pronunciation, is much more ambiguous."
French orthography,Language,Writing,Punctuation,"French orthography includes the spelling and punctuation of the French language. It uses diacritics (acute accent, grave accent, circumflex, diaeresis) to indicate sounds and rules governing orthography."
French orthography,Literature,French literature,Poetry,"The French language has a rich tradition of poetry, with many famous poets and authors like Raphaël, Israël, Saint-Saëns, and others."
French orthography,Music,French music,Orchestras,"The French language has a long history of classical music, with many famous composers like Ravel, Debussy, and others."
French orthography,Language,French,Orthography,"The French orthography is a specific way of writing the French alphabet, which is used in France and some other countries."
Computer rage,Psychology,Computer Rage,Definition and Causes,Computer rage refers to negative psychological responses towards a computer due to heightened anger or frustration.
Computer rage,Technology,Computer Usage,Technical Issues,"Users can experience computer anger and frustration for a number of reasons, including malware or computer viruses, software issues, not enough memory, email, word processors, web browsing, operating system crashes, inability to locate features, and program crashes."
Computer rage,Psychology,Computer Rage,Impact on Users,"When users fail to understand why their computer will not work properly, it can invoke a sense of hostility as it is interpreted as a breach of social norms or a personal attack."
Computer rage,Health,Computer Rage,Effects on Users,"Some experts have suggested that venting frustrations on the computer may have some benefits, but other experts disagree. For example, yelling at the computer has been suggested as a way to moderate one's anger to avoid the ill effects of anger suppression, but new research has suggested that yelling can negatively affect health in itself."
Computer rage,Technology,Computer Usage,Impact on Users,"Users who experience computer issues often report feeling helplessness and victimized, which can lead to negative emotions such as anger and frustration."
Computer rage,Education,Computer Rage,Prevalence,"In a 2015 study, it was found that reported rates of anger when using a computer were lower than reported rates of anger while driving."
Computer rage,Psychology,Computer Rage,Prevalence,"In a 2013 survey of American adults, 36% of respondents who reported experiencing computer issues, also reported that they had screamed, yelled, cursed, or physically assaulted their computers within the last six months."
Computer rage,Technology,Computer,Rage,Computer rage is a phenomenon where individuals feel better after walking away from the computer for 15 minutes to 'cool off'.
Computer rage,Psychology,Emotion,Affect,The application of affective computing has been shown to effectively mitigate negative emotions connected to computer use.
CodeHS,Education,CodeHS,Interactive Learning Platform,CodeHS is an interactive online learning platform offering computer science and programming instruction for schools and individual learners.
CodeHS,Programming Languages,Karel Programming Language,"JavaScript, Java, HTML","In the introductory learning module, students practice computer science concepts and programming skills by giving commands to a dog named Karel."
CodeHS,Computer Science,Karel Dog Programming Language,"JavaScript, Java, HTML","In the most popular course offered, which is similar to the original Karel programming language developed by Richard E. Pattis, Karel the dog must complete various tasks by moving around a grid world and putting down and picking up tennis balls using only simple commands."
CodeHS,Education,CodeHS,Interactive Learning Platform,"History CodeHS was founded in 2012 by Jeremy Keeshin and Zach Galant, both Stanford University Computer Science graduates."
CodeHS,Education,CodeHS,Educational Technology Company,"In the year of 2013, CodeHS was selected as one of three education technology companies to take part in the Innovation Challenge."
CodeHS,Education,CodeHS,Educational Technology Company,"In October 2013, CodeHS participated in a series of challenges in the Innovation Challenge, culminating in a live pitch contest broadcast live on NBC during the Education Nation Summit."
CodeHS,Education,CodeHS,Educational Technology Company,"In December 2016, CodeHS raised $2.9 million as of December 2016."
CodeHS,Education,CodeHS,Educational Technology Company,"In October 2013, CodeHS was selected as one of three education technology companies to take part in the Innovation Challenge."
Behrend function,Algebraic geometry,Behrend function,Donaldson–Thomas type invariants,"In algebraic geometry, the Behrend function of a scheme X is a constructible function ν X : X → Z such that if X is a quasi-projective proper moduli scheme carrying a symmetric obstruction theory, then the weighted Euler characteristic χ (X, ν X) = ∑ n ∈ Z n χ ({ν X = n}) is the degree of the virtual fundamental class [X] vir."
Behrend function,Algebraic geometry,Stacks,Moduli stacks,The Behrend function can be extended to moduli stacks such as the moduli stack of stable sheaves (the Donaldson–Thomas theory) or that of stable maps (the Gromov–Witten theory).
Corner-point grid,Geometry,Tessellation,Corner-point Grid,"A corner-point grid is a tessellation of a Euclidean 3D volume, where the base cell has 6 faces (hexahedron)."
Group actions in computational anatomy,Mathematics,Group actions,Computational anatomy,"In computational anatomy, group actions are used to deform the Frénet frame of three orthonormal vectors."
Group actions in computational anatomy,Information geometry,Diffeomorphism,Orientation distribution function,The orientation distribution function characterizes the angular profile of diffusion probability density functions and is reconstructed from HARDI data.
Minimum bounding box,Geometry,Minimum bounding box,Convex hull,"In geometry, the minimum bounding box or smallest bounding box for a point set S in N dimensions is the box with the smallest measure (area, volume, or hypervolume) within which all the points lie."
Minimum bounding box,Computer science,Bounding box,Convex hull,The axis-aligned minimum bounding box for a given point set is its minimum bounding box subject to the constraint that the edges of the box are parallel to the (Cartesian) coordinate axes.
Minimum bounding box,Computer graphics,Bounding box,Convex hull,"In computer graphics, the bounding box is merely the coordinates of the rectangular border that fully encloses a digital image when it is placed over a page, a canvas, or other similar bidimensional background."
Minimum bounding box,Digital image processing,Bounding volume,Darboux integral,"In digital image processing, the bounding box is merely the coordinates of the rectangular border that fully encloses a digital image when it is placed over a page, a canvas, or other similar bidimensional background."
Minimum bounding box,Mathematics,Bounding volume,Bounding sphere,"In mathematics, the bounding volume of an object is the smallest box that can contain it without any part of the object being outside the box."
Minimum bounding box,Computer vision,Bounding volume,Bounding sphere,"In computer vision, the bounding volume is a smaller box that can contain an object without any part of the object being outside the box."
Minimum bounding box,Computer graphics,Bounding volume,Bounding sphere,"In computer graphics, the bounding volume is a smaller box that can contain an object without any part of the object being outside the box."
Outline of algebra,Algebra,Basic concepts,Variables and expressions,"In elementary algebra, variables are used to represent unknown values in equations. These can be numbers, symbols, or other mathematical objects."
Outline of algebra,Algebra,Linear equations,Solving linear equations,"To solve a linear equation, isolate the variable on one side of the equation using algebraic operations such as addition, subtraction, multiplication, and division."
Outline of algebra,Algebra,Polynomials,Solving polynomial equations,"To solve a polynomial equation, factor it into its simplest form (e.g., x^2 - 4 = 0) and then use the quadratic formula or factoring to find the roots."
Outline of algebra,Algebra,Systems of linear equations,Solving systems of linear equations,"To solve a system of linear equations, use methods such as substitution, elimination, or matrix operations to find the values of all variables."
Outline of algebra,Algebra,Linear algebra,Vector spaces and subspaces,"In linear algebra, vectors are elements in a vector space, and matrices represent linear transformations between these spaces. Systems of linear equations can be represented as systems of matrix equations."
Outline of algebra,Algebra,Abstract algebra,Groups and rings,"In abstract algebra, groups are sets equipped with an operation that satisfies certain properties (e.g., closure, associativity, identity, inverse). Rings are similar but have additional operations."
Outline of algebra,Algebra,Number theory,Diophantine equations,"A Diophantine equation is an algebraic equation where the unknowns must be integers. Examples include linear, quadratic, and cubic Diophantine equations."
Outline of algebra,Algebra,Number theory,Greatest common divisor (gcd),The greatest common divisor of two numbers is the largest number that divides both of them without leaving a remainder. It's used in various algebraic and number-theoretic problems.
Outline of algebra,Algebra,Number theory,Least common multiple (lcm),The least common multiple of two numbers is the smallest positive integer that is divisible by both of them. It's used in various algebraic and number-theoretic problems.
Outline of algebra,Algebra,Number theory,Prime numbers,"A prime number is a natural number greater than 1 that has no positive divisors other than 1 and itself. Examples include 2, 3, 5, 7, 11, etc."
Outline of algebra,Algebra,Number theory,Fermat's little theorem,"The Fermat's Little Theorem states that if p is a prime number and a is an integer not divisible by p, then a^p ≡ a (mod p). This has applications in cryptography."
Outline of algebra,Algebra,Number theory,Euler's totient function φ(n),"The Euler's totient function, φ(n), counts the positive integers up to n that are relatively prime to n. It's used in number theory and cryptography."
Outline of algebra,Algebra,Number theory,Polynomial factorization,"The process of factoring a polynomial into its simplest form (e.g., x^2 - 4 = (x + 2)(x - 2))."
Cubicity,Mathematics,Graph Theory,Cubicity,"In graph theory, cubicity is a measure of the smallest dimension needed to represent a graph as the intersection graph of axis-parallel closed unit k-cubes in k-dimensional Euclidean space."
Cubicity,Mathematics,Graph Theory,Boxicity,The boxicity of a graph is defined as the smallest integer k such that the graph can be represented as the intersection graph of axis-parallel closed unit k-cubes in k-dimensional Euclidean space.
Cubicity,Mathematics,Graph Theory,Cubicity and Boxicity,"The cubicity of a graph G is the smallest integer k such that G can be represented as the intersection graph of axis-parallel closed unit k-cubes in k-dimensional Euclidean space. For a complete graph, cub ⁡ (G) = 0."
Cubicity,Mathematics,Graph Theory,Cubicity and Boxicity,"For a star graph of (1, n) vertices, cub ⁡ (K_{1,n}) = ⌊ log 2 (2n-1)⌋."
Cubicity,Mathematics,Graph Theory,Cubicity and Boxicity,"For a complete multipartite graph with p parts of cardinal 2, cub ⁡ (K_{p(2)}) = p."
Cubicity,Mathematics,Graph Theory,Cubicity and Boxicity,"The cubicity of a graph G is always an upper bound for its boxicity, i.e., cub ⁡ (G) ≤ ⌊ 2n/3⌋."
Cubicity,Mathematics,Graph Theory,Cubicity and Boxicity,"The upper bound for the cubicity of a graph G is best possible in terms of n, i.e., cub ⁡ (G) ≤ ⌊ 2n/3⌋."
Cubicity,Mathematics,Graph Theory,Cubicity and Boxicity,"The cubicity of a graph G is closely related to its boxicity, denoted by box ⁡(G). The definition of boxicity is essentially the same as that of cubicity but with axis-parallel boxes instead of axis-parallel unit cubes."
Cubicity,Mathematics,Graph Theory,Cubicity and Boxicity,"The definition of boxicity is essentially the same as that of cubicity, but with axis-parallel boxes instead of axis-parallel unit cubes."
Cubicity,Mathematics,Graph Theory,Cubicity and Boxicity,"The cubicity of a graph G is closely related to its boxicity, denoted by box ⁡(G). The definition of boxicity is essentially the same as that of cubicity, but with axis-parallel boxes instead of axis-parallel unit cubes."
Chemical reaction,Chemistry,Reaction,Classification,"A chemical reaction is a process that leads to the chemical transformation of one set of chemical substances to another. When chemical reactions occur, the atoms are rearranged and the reaction is accompanied by an energy change as new products are generated."
Chemical reaction,Chemistry,Redox,Nuclear chemistry,"The substance (or substances) initially involved in a chemical reaction are called reactants or reagents. Chemical reactions are usually characterized by a chemical change, and they yield one or more products, which usually have properties different from the reactants."
Chemical reaction,Chemistry,Synthesis,Friedrich Wöhler,Friedrich Wöhler is credited with the synthesis of urea from inorganic precursors by separating organic matter.
Chemical reaction,Chemistry,Organic Chemistry,Alexander William Williamson,William Williamson synthesized ethers and Ingold established the mechanisms of substitution reactions.
Chemical reaction,Chemistry,Inorganic Chemistry,Christopher Kelk Ingold,Ingold established the mechanisms of substitution reactions among many discoveries in organic chemistry.
Chemical reaction,Chemistry,Reaction Dynamics,Rate of a Reaction,"The rate v of a first-order reaction, given by v = -d[A]/dt, can be calculated using the integrated form [A] = [A]0 * e^(-k*t)."
Chemical reaction,Chemistry,Reaction Types,Synthesis and Decomposition Reactions,"Synthesis reactions involve two or more simpler substances forming a more complex substance, while decomposition reactions involve the breaking down of a more complex substance into its simpler parts."
Chemical reaction,Chemistry,Reaction Types,Single and Double Displacement Reactions,"A single displacement reaction involves one element trading places with another, while a double displacement reaction involves the anions and cations of two compounds switching places."
Chemical reaction,Chemistry,Reaction Types,Forward and Backward Reactions,"Reactions that proceed in the forward direction (from left to right) are called spontaneous reactions, while those proceeding in the backward direction are non-spontaneous."
Chemical reaction,Chemistry,Gibbs free energy,Equilibrium,The Gibbs free energy of a chemical reaction is determined by the minimum free energy and changes with temperature.
Chemical reaction,Physics,Energy transfer,Thermodynamics,"Reactions can proceed by themselves if they are exergonic, releasing energy. The associated free energy change is composed of enthalpy and entropy."
Chemical reaction,Chemistry,Reaction yield,Equilibrium position,The reaction yield stabilizes at equilibrium but can be increased by removing the product or changing temperature.
Chemical reaction,Chemistry,Reaction mechanism,Mechanism,The reaction mechanism describes the steps involved in a chemical reaction.
Chemical reaction,Chemistry,Redox reactions,Gibbs free energy,"In redox reactions, the transfer of electrons changes the oxidation state of atoms and can be understood in terms of the transfer of electrons from one involved species to another."
Chemical reaction,Chemistry,Electrolytic electrochemical reactions,Redox reactions,Electrolytic electrochemical reactions involve electrons from the power supply at the negative electrode being used as the reducing agent and electron withdrawal at the positive electrode as the oxidizing agent.
Chemical reaction,Chemistry,Complexation reactions,Coordination complexes,"In complexation reactions, several ligands react with a metal atom to form a coordination complex. This is achieved by providing lone pairs of the ligand into empty orbitals of the metal atom and forming dipolar bonds."
Chemical reaction,Chemistry,Redox reactions,Electrolysis,"The reverse process, in which electrons are released in redox reactions and chemical energy is converted to electrical energy, can be possible and used in batteries."
Chemical reaction,Chemistry,Redox reactions,Electrolysis,"Combustion reactions often involve a hydrocarbon, such as octane or methane, which releases energy in the form of heat and light."
Chemical reaction,Chemistry,Reaction types,Complexation reactions,"Complexation reactions include ligand exchange, redox processes, and acid-base reactions."
Chemical reaction,Chemistry,Acid-base reactions,Arrhenius definition,The Arrhenius definition of acid-base reactions involves a transfer of protons from one species (the acid) to another (the base).
Chemical reaction,Chemistry,Acid-base reactions,Brønsted–Lowry definition,The Brønsted–Lowry definition of acid-base reactions includes the Arrhenius definition.
Chemical reaction,Chemistry,Acid-base reactions,Lewis definition,The Lewis definition of acid-base reactions includes the Brønsted–Lowry definition.
Chemical reaction,Chemistry,Precipitation,Neutralization,Acids and bases can form neutral salts through a precipitation reaction.
Chemical reaction,Chemistry,Acid-base reactions,HBrO4- + Br- → HBr + O2↑,The reaction between hydrobromic acid (HBrO4-) and bromide ion (Br-) can be represented as:
Chemical reaction,Chemistry,Acid-base reactions,Redox processes,Redox reactions involve the transfer of electrons between species.
Chemical reaction,Chemistry,Acid-base reactions,Acid–base reaction,The Brønsted–Lowry acid–base theory describes the relationship between acids and bases.
Chemical reaction,Chemistry,Redox processes,Redox reactions,"Redox reactions involve the transfer of electrons between species, which can be represented by the equation:"
Chemical reaction,Chemical reaction,Heterogeneous catalysis,Acids,"Acids are an example of a homogeneous catalyst, they increase the nucleophilicity of carbonyls, allowing a reaction that would not otherwise proceed with electrophiles."
Chemical reaction,Chemical reaction,Heterogeneous catalysis,Transition metals,"Transition metals are used in hydrogenations, catalytic reforming and in the synthesis of commodity chemicals such as nitric acid and ammonia."
Chemical reaction,Chemical reaction,Heterogeneous catalysts,Reactions in organic chemistry,"Inorganic reactions can also take place in organic chemistry, such as cracking of heavy hydrocarbons at oil refineries to create smaller, simpler molecules."
Chemical reaction,Chemical reaction,Organic reactions,Specific types of organic reactions,"Inorganic and inorganic reactions can also take place in organic chemistry, such as the cracking of heavy hydrocarbons at oil refineries."
Chemical reaction,Chemistry,Reaction types,Double bond elimination,"The double bond is cleaved with the removal of a proton (deprotonation). The leaving order is reversed in the E1cb mechanism, that is, the proton is split off first. This mechanism requires the participation of a base."
Chemical reaction,Chemistry,E1 elimination,Electrophilic addition,"The E1 elimination involves an electrophile attacking the double bond, forming carbocations and then reacting with a nucleophile."
Chemical reaction,Chemistry,E2 elimination,Nucleophilic addition,"The E2 elimination involves an attacking particle that preferentially attacks the anti-position of the leaving group, resulting in no ionic intermediate."
Chemical reaction,Chemistry,Electrophilic addition,Carbonyl group,"The electrophile attacks double or triple bonds to form carbocations, which react with nucleophiles."
Chemical reaction,Chemistry,Addition reactions,Nucleophilic addition,"The nucleophile attacks the carbon-heteroatom multiple bonds and forms a carbocation, which reacts with the electrophile."
Chemical reaction,Chemistry,Addition reactions,Carbonyl group,"The nucleophile attacks double or triple bonds to form carbocations, which react with the electrophile."
Chemical reaction,Chemistry,Enzymes,Catalysis,"Enzymes are found in clefts or pockets lined by amino acid residues and are used mainly for stabilization. They rely on several mechanisms including molecular shape, bond strain, proximity, orientation, proton donation/withdrawal (acid/base catalysis), electrostatic interactions, and many others."
Chemical reaction,Chemistry,Metabolism,Biochemistry,"The biochemical reactions that occur in living organisms are collectively known as metabolism. Among the most important of its mechanisms is the anabolism, which results in the production of large molecules such as proteins and carbohydrates from smaller units."
Chemical reaction,Chemistry,Organic reactions,"Fungi, bacteria, and micro-organisms","The thermite reaction is used to generate light and heat in pyrotechnics and welding. Although it is less controllable than oxy-fuel welding, arc welding, and flash welding, it requires much less equipment and is still used to mend rails, especially in remote areas."
Ekakshara Upanishad,Upanishads,Ekakshara Upanishad,Samanya (general) Upanishad,"The Ekakshara Upanishad is a minor Upanishadic text of Hinduism written in Sanskrit language. It is attached to the Krishna Yajurveda, and is a Samanya (general) Upanishad."
Galik alphabet,Alphabet,Mongolian script,Galik alphabet,The Galik alphabet is an extension of the traditional Mongolian script created by Ayuush Güüsh in 1587.
Galik alphabet,Alphabet,Mongolian transliteration,Sino-Mongolian Transliterations,"The Galik alphabet was rendered into Chinese characters, and some authors don't distinguish between the two alphabets."
Galik alphabet,Alphabet,Mongolian script,Standard Mongolian script,The standard Mongolian script is based on the traditional Mongolian script and includes additional characters for Tibetan and Sanskrit terms.
Marathi grammar,Grammar,Case system,Marathi grammar,"Marathi uses eight case suffixes: nominative, accusative, ergative, instrumental, dative, genitive, possessor, and locative. Traditional grammar includes the verb as a whole when attaching cases to it."
